"","variable","value","Var1"
"379","G",-0.0186113565453807,"CPI"
"380","G",0.0686282811813584,"CPI"
"381","G",-0.12714574943658,"CPI"
"382","G",0.0243154843505934,"CPI"
"383","G",-0.0394601021133156,"CPI"
"384","G",0.0527036923549904,"CPI"
"385","G",-0.0638318584228819,"CPI"
"386","G",0.0219682080227333,"CPI"
"387","G",0.0291162995103304,"CPI"
"388","G",-0.0273799215321622,"CPI"
"389","G",-0.00541251757148763,"CPI"
"390","G",0.00296265876795476,"CPI"
"391","G",-0.0454969186877323,"CPI"
"392","G",-0.0131818873113301,"CPI"
"393","G",0.0125392082341887,"CPI"
"394","G",0.0211743450152568,"CPI"
"395","G",-0.068233963985225,"CPI"
"396","G",-0.0404385092052539,"CPI"
"397","G",-0.00322553986499548,"CPI"
"398","G",-0.00971438273886809,"CPI"
"399","G",0.0471170499344695,"CPI"
"400","G",-0.000881236553924699,"CPI"
"401","G",0.0732725385536574,"CPI"
"402","G",0.119808781274521,"CPI"
"403","G",0.00418683775417019,"CPI"
"404","G",0.10468268563838,"CPI"
"405","G",0.0235932908081159,"CPI"
"406","G",0.0388054064997874,"CPI"
"407","G",-0.0478132250498874,"CPI"
"408","G",-0.0138026714602957,"CPI"
"409","G",-0.104510135058701,"CPI"
"410","G",-0.0611816658642321,"CPI"
"411","G",0.025746340095213,"CPI"
"412","G",-0.0213789708630953,"CPI"
"413","G",-0.0736136668758377,"CPI"
"414","G",0.00245141280661273,"CPI"
"415","G",0.0104567061643098,"CPI"
"416","G",0.0219836401998946,"CPI"
"417","G",0.0657861703021748,"CPI"
"418","G",-0.0629964499016028,"CPI"
"419","G",-0.0915507614217495,"CPI"
"420","G",-0.0463524638904517,"CPI"
"421","G",-0.0671964264613937,"CPI"
"422","G",-0.108602792476706,"CPI"
"423","G",0.0698385457760151,"CPI"
"424","G",-0.021702203780774,"CPI"
"425","G",0.109838353156658,"CPI"
"426","G",-0.0268651344724636,"CPI"
"427","G",-0.141045820134113,"CPI"
"428","G",0.000776758972982315,"CPI"
"429","G",-0.0350208800480926,"CPI"
"430","G",0.0182843898952922,"CPI"
"431","G",-0.00590654295424948,"CPI"
"432","G",0.0392580728658696,"CPI"
"433","G",-0.0255598081908884,"CPI"
"434","G",-0.0388538800966739,"CPI"
"435","G",-0.0251098442531622,"CPI"
"436","G",0.0616410978641638,"CPI"
"437","G",0.0488572697438336,"CPI"
