"","Var1","Var2","value"
"284","CPI","X1",-0.0661253398469928
"285","CPI","X1",0.18127855369316
"286","CPI","X1",0.105901762299347
"287","CPI","X1",-0.0431494270567257
"288","CPI","X1",0.0884858864750086
"289","CPI","X1",-0.0928603272407776
"290","CPI","X1",-0.0280659102240428
"291","CPI","X1",0.0980915354914017
"292","CPI","X1",-0.296201048906386
"293","CPI","X1",0.0122062444737764
"294","CPI","X1",-0.463482765664645
"295","CPI","X1",-0.155446641189738
"296","CPI","X1",-0.335239667632488
"297","CPI","X1",0.209911422239641
"298","CPI","X1",-0.0289258105169578
"299","CPI","X1",-0.266798003727724
"300","CPI","X1",0.331085428297824
"301","CPI","X1",-0.163264120729
"302","CPI","X1",0.0842440391302386
"303","CPI","X1",-0.217481689805896
"304","CPI","X1",-0.346177010247894
"305","CPI","X1",0.250421627097604
"306","CPI","X1",0.269668224668067
"307","CPI","X1",-0.259907108315265
"308","CPI","X1",0.208875098812875
"309","CPI","X1",-0.545624004392791
"310","CPI","X1",0.0581954292985732
"311","CPI","X1",-0.415335530749493
"312","CPI","X1",-0.597009596526898
"313","CPI","X1",-0.106206331786323
"314","CPI","X1",-0.393469008973469
"315","CPI","X1",0.0151594725892303
"316","CPI","X1",0.321205747814177
"317","CPI","X1",-0.00588267273761222
"318","CPI","X1",-0.175986903788047
"319","CPI","X1",0.161460177786361
"320","CPI","X1",-0.188155290639073
"321","CPI","X1",0.326324199806829
"322","CPI","X1",-0.125537613049468
"323","CPI","X1",-0.0613463699414105
"324","CPI","X1",0.174128064142491
"325","CPI","X1",-0.0758670951069922
"326","CPI","X1",-0.0456122422608189
"327","CPI","X1",0.537728842483753
"328","CPI","X1",0.0224688337918246
"329","CPI","X1",-0.180445482161401
"330","CPI","X1",0.146084160618913
"331","CPI","X1",0.0568268875404534
"332","CPI","X1",0.284524523528642
"333","CPI","X1",-0.0740647892696647
"334","CPI","X1",-0.178391445824692
"335","CPI","X1",0.0684729738650945
"336","CPI","X1",0.102474892874745
"337","CPI","X1",0.242434689810388
"338","CPI","X1",-0.0354797674897386
"339","CPI","X1",0.0134380936710468
"340","CPI","X1",-0.0347568017215127
"341","CPI","X1",0.292231657412596
"342","CPI","X1",0.30276787502094
"343","CPI","X1",0.301170691641277
"344","CPI","X1",0.135837737351997
"345","CPI","X1",-0.0881663645749867
"346","CPI","X1",0.436033176883404
"347","CPI","X1",0.102318502467452
"348","CPI","X1",-0.119727044978084
"349","CPI","X1",-0.0514127815209834
"350","CPI","X1",-0.0558554961875834
"351","CPI","X1",-0.366904206678627
"352","CPI","X1",-0.316873398088432
"353","CPI","X1",-0.35387754126272
"354","CPI","X1",-0.530219872502069
"355","CPI","X1",-0.142694698221978
"356","CPI","X1",-0.285114867598103
"357","CPI","X1",-0.311878287405862
"358","CPI","X1",0.229043205526472
"359","CPI","X1",-0.119234550124988
"360","CPI","X1",0.204203272935754
"361","CPI","X1",0.370462284200594
"362","CPI","X1",-0.0812806579036794
"363","CPI","X1",0.173821114760682
"364","CPI","X1",0.346625089516282
"365","CPI","X1",0.0724133814331132
"366","CPI","X1",-0.119819244555001
"367","CPI","X1",0.209173433451596
"368","CPI","X1",-0.0713785791539026
"369","CPI","X1",-0.193768302407552
"370","CPI","X1",0.177492281021896
"371","CPI","X1",0.138345521374917
"372","CPI","X1",0.171473937968495
"373","CPI","X1",-0.257146676776776
"374","CPI","X1",0.232561749138533
"375","CPI","X1",-0.129410229393497
"376","CPI","X1",0.443197867871534
"377","CPI","X1",0.0326772420798869
"378","CPI","X1",0.0195800027565904
